experiment,is_experiment_A,is_experiment_B,is_experiment_C,repeat,training_objective,sample_k,D,gamma,N,alpha,M_train,alpha_code,kappa,K_visible,t_mask_val,num_steps,n_mmd_samples,fast_debug,final_run,macbook_30min_run,run_mode,train_time_sec,loss_eval_time_sec,sample_time_sec,mmd_time_sec,row_time_sec,train_loss_objective,test_loss_objective,loss_gap_objective,train_loss_exactK,test_loss_exactK,loss_gap_exactK,train_loss,test_loss,loss_gap,mmd_biased_mixture,mmd2_biased_mixture,mmd2_unbiased_mixture_raw,mmd_biased_multiscale,mmd2_biased_multiscale,mmd2_unbiased_multiscale_raw,baseline_mmd_biased_mixture,baseline_mmd2_biased_mixture,baseline_mmd2_unbiased_mixture_raw,baseline_mmd_biased_multiscale,baseline_mmd2_biased_multiscale,baseline_mmd2_unbiased_multiscale_raw,train_true_mmd_biased_mixture,train_true_mmd2_biased_mixture,train_true_mmd2_unbiased_mixture_raw,train_true_mmd_biased_multiscale,train_true_mmd2_biased_multiscale,train_true_mmd2_unbiased_multiscale_raw,model_train_mmd_biased_mixture,model_train_mmd2_biased_mixture,model_train_mmd2_unbiased_mixture_raw,model_train_mmd_biased_multiscale,model_train_mmd2_biased_multiscale,model_train_mmd2_unbiased_multiscale_raw,train_empirical_mmd_biased_multiscale,nearest_train_q1_excess_over_true,model_nearest_train_q1_mean,model_nearest_train_q1_std,model_nearest_train_q2_mean,model_nearest_train_q1_q2_gap_mean,true_nearest_train_q1_mean,true_nearest_train_q1_std,true_nearest_train_q2_mean,true_nearest_train_q1_q2_gap_mean,nearest_train_q1_mean,nearest_train_q1_std,nearest_train_q2_mean,nearest_train_q1_q2_gap_mean,corr_relerr_fresh_true,corr_relerr_model_true,initial_100_train_loss_mean,final_100_train_loss_mean,loss_decrease_ratio,mmd_biased_lambda_4,mmd2_biased_lambda_4,mmd2_unbiased_lambda_4_raw,baseline_mmd_biased_lambda_4,baseline_mmd2_biased_lambda_4,baseline_mmd2_unbiased_lambda_4_raw,train_true_mmd_biased_lambda_4,train_true_mmd2_biased_lambda_4,train_true_mmd2_unbiased_lambda_4_raw,model_train_mmd_biased_lambda_4,model_train_mmd2_biased_lambda_4,model_train_mmd2_unbiased_lambda_4_raw,mmd_biased_lambda_8,mmd2_biased_lambda_8,mmd2_unbiased_lambda_8_raw,baseline_mmd_biased_lambda_8,baseline_mmd2_biased_lambda_8,baseline_mmd2_unbiased_lambda_8_raw,train_true_mmd_biased_lambda_8,train_true_mmd2_biased_lambda_8,train_true_mmd2_unbiased_lambda_8_raw,model_train_mmd_biased_lambda_8,model_train_mmd2_biased_lambda_8,model_train_mmd2_unbiased_lambda_8_raw
A,True,False,False,0,repo_uniform_t,1,80,2.0,160,0.5,40,0.25,0.5,40,0.75,3000,100000,False,True,False,full_final,1.453419624999981,0.5976437499999747,34.22206825000006,97.87122433299999,134.27722820899993,0.18248921632766724,1.3735085725784302,1.191019356250763,0.2997859716415405,1.1264967918395996,0.8267108201980591,0.18248921632766724,1.3735085725784302,1.191019356250763,0.05501525511981599,0.003026678295898439,0.003008286916242199,0.05501525511981599,0.003026678295898439,0.003008286916242199,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.15455296750357192,0.023886619764160157,0.023868443645239282,0.15455296750357192,0.023886619764160157,0.023868443645239282,0.1374910552964208,0.01890379028652344,0.01888563823062675,0.1374910552964208,0.01890379028652344,0.01888563823062675,0.1374910552964208,0.1381700336933136,0.36608952283859253,0.0814080610871315,0.2921437621116638,0.07394575327634811,0.22791948914527893,0.050420500338077545,0.18581464886665344,0.042104873806238174,0.36608952283859253,0.0814080610871315,0.2921437621116638,0.07394575327634811,0.044358525425195694,1.6471558809280396,0.4885609194636345,0.1859607534855604,0.3806296125562335,0.06160976075519612,0.003795762620312504,0.003778561076992315,0.004125940281085667,1.7023383203085274e-05,-2.0828298119557331e-07,0.15123812122000277,0.022872969310156255,0.02285596706935139,0.12934102864073627,0.01672910168984376,0.016712129592927505,0.04751414496215179,0.0022575939714843743,0.002238012755492083,0.004426797337575592,1.9596534667966348e-05,-2.647673254252414e-09,0.15779819459728955,0.02490027021816406,0.024880920221127173,0.14518429282537115,0.02107847888320312,0.021059146868325995
A,True,False,False,0,repo_uniform_t,1,80,2.0,160,1.0,80,0.5,0.5,40,0.75,3000,100000,False,True,False,full_final,1.8790971669999408,0.62631250000004,34.49371825000003,103.508446166,140.6637552499999,0.2846679985523224,1.0487017631530762,0.7640337646007538,0.4557117521762848,0.9373081922531128,0.481596440076828,0.2846679985523224,1.0487017631530762,0.7640337646007538,0.039870169842398724,0.0015896304432617206,0.0015712252797036932,0.039870169842398724,0.0015896304432617206,0.0015712252797036932,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.10691614684623328,0.011431062456445318,0.011412761765991424,0.10691614684623328,0.011431062456445318,0.011412761765991424,0.09528887213640089,0.009079969153027358,0.009061678719658461,0.09528887213640089,0.009079969153027358,0.009061678719658461,0.09528887213640089,0.0796649158000946,0.33577829599380493,0.05881904065608978,0.2844114899635315,0.05136675387620926,0.2561133801937103,0.04621078819036484,0.21801787614822388,0.03809549659490585,0.33577829599380493,0.05881904065608978,0.2844114899635315,0.05136675387620926,0.045341234654188156,1.1962430477142334,0.539084837436676,0.2820246684551239,0.5231545183057614,0.04475251758805034,0.002002787830468755,0.001985569102921636,0.004125940281085667,1.7023383203085274e-05,-2.0828298119557331e-07,0.10311448951741709,0.010632597948437517,0.01061547327159229,0.087731412654797,0.007696800766406275,0.007679689022801861,0.0342997530028233,0.001176473056054686,0.0011568814564857505,0.004426797337575592,1.9596534667966348e-05,-2.647673254252414e-09,0.11058719168354497,0.012229526964453119,0.012210050260390556,0.10228947912492488,0.010463137539648441,0.010443668416515062
A,True,False,False,0,repo_uniform_t,1,80,2.0,160,2.0,160,1.0,0.5,40,0.75,3000,100000,False,True,False,full_final,2.902539291999915,0.7177614589999166,34.133989583000016,117.48034991700001,155.4407108759998,0.3841693103313446,0.8247321844100952,0.4405628740787506,0.5416920185089111,0.7962399125099182,0.2545478940010071,0.3841693103313446,0.8247321844100952,0.4405628740787506,0.029877647266013933,0.0008926738061523498,0.0008742622329280317,0.029877647266013933,0.0008926738061523498,0.0008742622329280317,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.0753108779457714,0.005671728336962879,0.005653369662402662,0.0753108779457714,0.005671728336962879,0.005653369662402662,0.06722598641785422,0.00451933324985352,0.0045009784812751336,0.06722598641785422,0.00451933324985352,0.0045009784812751336,0.06722598641785422,0.04280978441238403,0.32361727952957153,0.04823748767375946,0.28289350867271423,0.04072375223040581,0.2808074951171875,0.04291322082281113,0.2461598664522171,0.0346476249396801,0.32361727952957153,0.04823748767375946,0.28289350867271423,0.04072375223040581,0.04453844949603081,0.8943471908569336,0.568405632674694,0.38177593916654584,0.6716610765626265,0.033536503432826936,0.001124697062500013,0.0011074702665311298,0.004125940281085667,1.7023383203085274e-05,-2.0828298119557331e-07,0.07242501076274928,0.005245382183984348,0.005228203072442816,0.06156926325476357,0.0037907741777343795,0.003773600005110511,0.025703123347264368,0.0006606505498046866,0.0006410541993249336,0.004426797337575592,1.9596534667966348e-05,-2.647673254252414e-09,0.07809016897114136,0.006098074489941409,0.006078536252362508,0.07244233791073187,0.005247892321972661,0.005228356957439756
A,True,False,False,0,repo_uniform_t,1,80,2.0,160,5.0,400,2.5,0.5,40,0.75,3000,100000,False,True,False,full_final,4.984663791999992,1.0299914580000404,35.664884458000074,113.90684866699985,155.75476649999996,0.47498780488967896,0.6472303867340088,0.17224258184432983,0.5866905450820923,0.6795477867126465,0.0928572416305542,0.47498780488967896,0.6472303867340088,0.17224258184432983,0.020416967196714847,0.00041685254951173006,0.0003984369847243388,0.020416967196714847,0.00041685254951173006,0.0003984369847243388,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.04798342903658908,0.0023024094621093803,0.002284016849148817,0.04798342903658908,0.0023024094621093803,0.002284016849148817,0.043292082600840165,0.0018742044159179676,0.0018558117349403193,0.043292082600840165,0.0018742044159179676,0.0018558117349403193,0.043292082600840165,0.013520359992980957,0.32387223839759827,0.04090310260653496,0.29105648398399353,0.03281575068831444,0.3103518784046173,0.03956955671310425,0.27920475602149963,0.031147126108407974,0.32387223839759827,0.04090310260653496,0.29105648398399353,0.03281575068831444,0.043559588491916656,0.6074472069740295,0.5898295253515243,0.47582357823848725,0.8067137330144803,0.022856027830818283,0.0005223980082031399,0.000505166163322579,0.004125940281085667,1.7023383203085274e-05,-2.0828298119557331e-07,0.04631605023504285,0.002145176509375013,0.002127966051909902,0.039997605265229566,0.0015998084269531199,0.0015825978825634857,0.017643896701701703,0.00031130709082032026,0.0002917078061260986,0.004426797337575592,1.9596534667966348e-05,-2.647673254252414e-09,0.04959478213324208,0.0024596424148437476,0.002440067646387732,0.04635299779823108,0.0021486004048828153,0.002129025587317153
A,True,False,False,0,repo_uniform_t,1,80,2.0,160,10.0,800,5.0,0.5,40,0.75,3000,100000,False,True,False,full_final,4.62584066699992,1.1350131659999079,36.476257208000106,133.0004241669999,175.47520029099974,0.511343240737915,0.592191219329834,0.08084797859191895,0.6016966104507446,0.6447148323059082,0.043018221855163574,0.511343240737915,0.592191219329834,0.08084797859191895,0.01602722118601025,0.0002568718189452958,0.00023845503729746226,0.01602722118601025,0.0002568718189452958,0.00023845503729746226,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.03392097100361563,0.0011506322738281324,0.0011322282443838802,0.03392097100361563,0.0011506322738281324,0.0011322282443838802,0.031174223789955813,0.000971832228906247,0.000953426856455341,0.031174223789955813,0.000971832228906247,0.000953426856455341,0.031174223789955813,0.0018016397953033447,0.3329748809337616,0.037912461906671524,0.30363988876342773,0.02933499962091446,0.33117324113845825,0.03767387568950653,0.30188462138175964,0.029288625344634056,0.3329748809337616,0.037912461906671524,0.30363988876342773,0.02933499962091446,0.04422685503959656,0.4702732563018799,0.6130631268024445,0.5121083125472069,0.835327212090233,0.017877975451654596,0.0003196220062499644,0.0003023886188481262,0.004125940281085667,1.7023383203085274e-05,-2.0828298119557331e-07,0.03263314861120919,0.0010649223882812642,0.001047701299007553,0.028944943764520243,0.0008378097695312392,0.0008205869767403673,0.013932753914450193,0.00019412163164062718,0.00017452145574679834,0.004426797337575592,1.9596534667966348e-05,-2.647673254252414e-09,0.03516165751745786,0.0012363421593750007,0.0012167551897602075,0.03325439351846993,0.0011058546882812548,0.0010862667361703146
A,True,False,False,0,repo_uniform_t,1,80,2.0,160,20.0,1600,10.0,0.5,40,0.75,3000,100000,False,True,False,full_final,5.026640416999953,2.0770874170000297,39.11362783300001,140.070036458,186.55561354199995,0.5341468238830567,0.5726637840270996,0.03851696014404293,0.609635660648346,0.6316593885421753,0.022023727893829337,0.5341468238830567,0.5726637840270996,0.03851696014404293,0.013455679196411122,0.00018105530263673106,0.0001626379755237002,0.013455679196411122,0.00018105530263673106,0.0001626379755237002,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.024677237280435724,0.0006089660397949268,0.0005905565699763915,0.024677237280435724,0.0006089660397949268,0.0005905565699763915,0.023528118123464007,0.0005535723424316755,0.0005351609714510236,0.023528118123464007,0.0005535723424316755,0.0005351609714510236,0.023528118123464007,-0.0042476654052734375,0.34647148847579956,0.035734523087739944,0.3192427456378937,0.02722875028848648,0.350719153881073,0.03591914474964142,0.32330062985420227,0.027418501675128937,0.34647148847579956,0.035734523087739944,0.3192427456378937,0.02722875028848648,0.044736094772815704,0.38872480392456055,0.6319405043125152,0.5330915904045105,0.8435787653530106,0.01493943801497089,0.0002231868082031574,0.00020595272689943878,0.004125940281085667,1.7023383203085274e-05,-2.0828298119557331e-07,0.02402411339089874,0.0005771580242187602,0.0005599320311951983,0.0225318661583588,0.0005076849925781945,0.0004904565882688505,0.011786593955435333,0.00013892379707030472,0.00011932322414796165,0.004426797337575592,1.9596534667966348e-05,-2.647673254252414e-09,0.025313515270919868,0.0006407740553710933,0.0006211811087575847,0.024483865958732014,0.0005994596922851564,0.0005798653546331967
A,True,False,False,0,repo_uniform_t,1,80,2.0,160,50.0,4000,25.0,0.5,40,0.75,3000,100000,False,True,False,full_final,5.078225833000033,2.490682124999921,33.557282833000045,108.16691566700001,149.99845579199996,0.5421383986473084,0.5578492879867554,0.015710889339446976,0.6132187557220459,0.6220855116844177,0.008866755962371853,0.5421383986473084,0.5578492879867554,0.015710889339446976,0.010972060947494882,0.00012038612143554228,0.00010196831521007421,0.010972060947494882,0.00012038612143554228,0.00010196831521007421,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.016317806653004106,0.0002662708139648251,0.0002478578124018409,0.016317806653004106,0.0002662708139648251,0.0002478578124018409,0.01665370368816549,0.0002773458465332168,0.0002589304827590351,0.01665370368816549,0.0002773458465332168,0.0002589304827590351,0.01665370368816549,-0.009487032890319824,0.36543211340904236,0.03350801765918732,0.3405611217021942,0.02487100102007389,0.3749191462993622,0.0341818742454052,0.34933578968048096,0.02558337338268757,0.36543211340904236,0.03350801765918732,0.3405611217021942,0.02487100102007389,0.0434514619410038,0.3086227476596832,0.6217680609226227,0.5424888163805008,0.872493861417581,0.01209197467589526,0.00014621585156249228,0.00012898116261761405,0.004125940281085667,1.7023383203085274e-05,-2.0828298119557331e-07,0.01610900010475382,0.0002594998843749585,0.00024227055479830728,0.01650200747731255,0.0002723162507812793,0.00025508392408613023,0.009724011070982606,9.455639130859228e-05,7.495546780253437e-05,0.004426797337575592,1.9596534667966348e-05,-2.647673254252414e-09,0.01652397481100391,0.0002730417435546917,0.0002534450700053745,0.01680403053690258,0.0002823754422851543,0.00026277704143193997
A,True,False,False,0,repo_uniform_t,1,80,2.0,160,100.0,8000,50.0,0.5,40,0.75,3000,100000,False,True,False,full_final,5.275133541999821,5.731606957999929,35.05229108399999,112.2156433749999,159.67679149999958,0.5438258957862854,0.5529760122299194,0.00915011644363406,0.6133105301856995,0.6181138753890991,0.004803345203399645,0.5438258957862854,0.5529760122299194,0.00915011644363406,0.009486473864243207,8.999318637696943e-05,7.157529844685831e-05,0.009486473864243207,8.999318637696943e-05,7.157529844685831e-05,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.004279013780712305,1.830995893552581e-05,-1.0546532722491286e-07,0.011802339853834106,0.00013929522602540087,0.000120880983008647,0.011802339853834106,0.00013929522602540087,0.000120880983008647,0.012927053209742172,0.0001671087046875054,0.00014869203231545475,0.012927053209742172,0.0001671087046875054,0.00014869203231545475,0.012927053209742172,-0.010521888732910156,0.38151663541793823,0.03251146897673607,0.3578548729419708,0.023661747574806213,0.3920385241508484,0.03308219462633133,0.3677886724472046,0.02424987219274044,0.38151663541793823,0.03251146897673607,0.3578548729419708,0.023661747574806213,0.04470498859882355,0.2591134011745453,0.6201204550266266,0.5450704687833786,0.8789751480782463,0.010386247574168212,0.00010787413867191509,9.063934722819411e-05,0.004125940281085667,1.7023383203085274e-05,-2.0828298119557331e-07,0.011571951677440599,0.00013391006562502028,0.00011667953100003015,0.012989290254980898,0.0001687216613281417,0.00015148804508752223,0.00849189225567681,7.211223408202377e-05,5.251124966552251e-05,0.004426797337575592,1.9596534667966348e-05,-2.647673254252414e-09,0.012028316026185107,0.00014468038642578146,0.00012508243501726385,0.012864515072355783,0.00016549574804686912,0.00014589601954338727
A,True,False,False,1,repo_uniform_t,1,80,2.0,160,0.5,40,0.25,0.5,40,0.75,3000,100000,False,True,False,full_final,1.3852724999999282,0.6183852090000528,34.39764224999999,108.98869316700006,145.52427158399996,0.1817956119775772,1.3811863660812378,1.1993907541036606,0.3025151193141937,1.1317312717437744,0.8292161524295807,0.1817956119775772,1.3811863660812378,1.1993907541036606,0.05555356391204849,0.0030861984633300567,0.0030678082742934334,0.05555356391204849,0.0030861984633300567,0.0030678082742934334,0.004167619792676921,1.7369054736312423e-05,-1.0457905554664415e-06,0.004167619792676921,1.7369054736312423e-05,-1.0457905554664415e-06,0.15353647876807647,0.023573450312499997,0.02355527141126774,0.15353647876807647,0.023573450312499997,0.02355527141126774,0.13571298810461435,0.018418015140283194,0.018399860848822083,0.13571298810461435,0.018418015140283194,0.018399860848822083,0.13571298810461435,0.1408500075340271,0.37040188908576965,0.0801655575633049,0.2960967719554901,0.07430512458086014,0.22955188155174255,0.05054442211985588,0.1872040033340454,0.04234787076711655,0.37040188908576965,0.0801655575633049,0.2960967719554901,0.07430512458086014,0.043325718492269516,1.6398311853408813,0.4850539419054985,0.18046733416616917,0.37205621596892213,0.06219828193278803,0.0038686262753905853,0.003851426218738463,0.003954072959458961,1.563469296872455e-05,-1.596240528201065e-06,0.14949448492649317,0.022348601023437498,0.022331593906386005,0.1264142339861175,0.015980558554296864,0.015963582251868613,0.04799761089126758,0.002303770651269528,0.002284190329848404,0.004370745531817231,1.9103416503900295e-05,-4.95340582731818e-07,0.15747475861725427,0.024798299601562497,0.024778948916149478,0.14441423657752556,0.020855471726269524,0.020836139445775552
A,True,False,False,1,repo_uniform_t,1,80,2.0,160,1.0,80,0.5,0.5,40,0.75,3000,100000,False,True,False,full_final,1.854541625000138,0.6150093339999785,33.42735499999981,103.22401195900011,139.25333325099996,0.2810131013393402,1.0565680265426636,0.7755549252033234,0.4541243612766266,0.94115149974823,0.4870271384716034,0.2810131013393402,1.0565680265426636,0.7755549252033234,0.040222870483247575,0.001617879309912109,0.0015994744174670401,0.040222870483247575,0.001617879309912109,0.0015994744174670401,0.004167619792676921,1.7369054736312423e-05,-1.0457905554664415e-06,0.004167619792676921,1.7369054736312423e-05,-1.0457905554664415e-06,0.10927741704968495,0.011941553877050776,0.011923257703706329,0.10927741704968495,0.011941553877050776,0.011923257703706329,0.09742885527694639,0.009492381840576165,0.009474095634474426,0.09742885527694639,0.009492381840576165,0.009474095634474426,0.09742885527694639,0.07998025417327881,0.33475837111473083,0.0592271164059639,0.2836836278438568,0.05107475072145462,0.254778116941452,0.04622511565685272,0.2171812504529953,0.03759687393903732,0.33475837111473083,0.0592271164059639,0.2836836278438568,0.05107475072145462,0.043959032744169235,1.1919969320297241,0.5452929201722145,0.27488798797130587,0.5041106858392562,0.04514818744198787,0.0020383588292968713,0.00202114044510765,0.003954072959458961,1.563469296872455e-05,-1.596240528201065e-06,0.10684029862259659,0.011414849409765615,0.011397731705087788,0.09131286619964211,0.008338039533593744,0.008320934394094037,0.03460346500752991,0.0011973997905273467,0.0011778083898264305,0.004370745531817231,1.9103416503900295e-05,-4.95340582731818e-07,0.11166135564435861,0.012468258344335938,0.01244878370232487,0.10318296442513457,0.010646724147558587,0.010627256874854815
A,True,False,False,1,repo_uniform_t,1,80,2.0,160,2.0,160,1.0,0.5,40,0.75,3000,100000,False,True,False,full_final,2.6775943339998776,0.681641333999778,33.481688290999955,102.85755391700013,139.8522276269996,0.38415223360061646,0.8122545480728149,0.4281023144721985,0.5432641506195068,0.7913989424705505,0.2481347918510437,0.38415223360061646,0.8122545480728149,0.4281023144721985,0.02944842123663112,0.0008672095133300667,0.0008487980787089885,0.02944842123663112,0.0008672095133300667,0.0008487980787089885,0.004167619792676921,1.7369054736312423e-05,-1.0457905554664415e-06,0.004167619792676921,1.7369054736312423e-05,-1.0457905554664415e-06,0.07511049734898409,0.0056415868120117466,0.005623228058276867,0.07511049734898409,0.0056415868120117466,0.005623228058276867,0.06727741261445563,0.004526250248095713,0.004507894900071578,0.06727741261445563,0.004526250248095713,0.004507894900071578,0.06727741261445563,0.040577590465545654,0.3219946026802063,0.04792988300323486,0.2815224826335907,0.0404721274971962,0.28141701221466064,0.042841821908950806,0.24678988754749298,0.034627124667167664,0.3219946026802063,0.04792988300323486,0.2815224826335907,0.0404721274971962,0.043910566717386246,0.868816077709198,0.5736983117461204,0.38356984317302706,0.6685915494601783,0.03305445473948967,0.0010925969781249711,0.0010753703589977404,0.003954072959458961,1.563469296872455e-05,-1.596240528201065e-06,0.07211427159160352,0.005200468167187555,0.005183288868852554,0.061597822055907706,0.00379429168203127,0.0037771166908150966,0.02533420708321384,0.0006418220485351622,0.0006222257984202367,0.004370745531817231,1.9103416503900295e-05,-4.95340582731818e-07,0.07799170120490986,0.006082705456835938,0.00606316724770118,0.07251350780482321,0.005258208814160156,0.00523867310932806
